Word	Count
the	49498
and	28802
a	23822
i	21345
to	18267
it	18017
is	17441
car	10188
in	9449
of	9407
my	9366
for	9278
on	8478
this	8060
wa	6920
that	6838
but	6727
with	6554
have	6434
not	6171
they	4869
vehicle	4551
dealer	4500
at	4306
very	4156
ha	4083
had	3816
great	3765
toyota	3629
you	3443
about	3382
he	3200
guest	3188
are	3092
we	3037
get	2972
drive	2969
so	2923
than	2922
truck	2772
seat	2745
like	2713
me	2681
be	2568
all	2514
when	2487
good	2485
love	2390
from	2369
mpg	2280
driving	2240
up	2236
mile	2231
month	2202
will	2201
delivery	2190
which	2136
one	2133
more	2074
an	1987
gas	1960
been	1943
ride	1911
time	1899
mileage	1852
better	1818
did	1817
there	1797
make	1795
system	1792
